# Edit at your own risk. Consists of Cheat Data for GTASA Admin Console
# This file gets regenerated when you click on Save Changes to Config File button.
# If you delete this file, it will be regenerated by the next time you run GTASA_Console
GTASACheats
#UID | Folder | Cheat String | Description
2608DD1D-5704-F841-85E5-4EDCC39226A5|GTA SA Cheats\Gameplay|CPKTNWT|Blow Up All Cars
1D229A75-9642-4747-967F-42F712BCC8E8|GTA SA Cheats\Gameplay|HESOYAM|Health Armor $250k
53AEB036-6BB9-3F49-9172-551CCF904466|GTA SA Cheats\Gameplay|SJMAHPE|Recruit Anyone (9mm)
2397114B-C28D-6742-83F0-436609FFA196|GTA SA Cheats\Gameplay|ZSOXFSQ|Recruit Anyone (Rockets)
40E6BAEA-92E3-BC44-9FE1-0A46885C789E|GTA SA Cheats\Gameplay|ROCKETMAYHEM|Recruit Anyone (Rockets)
3E4D563E-519A-A642-9579-5F660618E96A|GTA SA Cheats\Gameplay\Related to Cars|SPEEDFREAK|All Cars Have Nitro
88338557-585C-CD48-BA4A-139FBCF15D25|GTA SA Cheats\Gameplay\Related to Cars|COXEFGU|All Cars Have Nitro
3873D411-C55B-344D-896E-33E8ABEF8FDD|GTA SA Cheats\Gameplay\Related to Cars|FLYINGFISH|Boats Fly
27E63ED9-3300-F74A-97D8-C209834DA30F|GTA SA Cheats\Gameplay\Related to Cars|AFSNMSMW|Boats fly
20CB2AA3-9980-7140-88A1-55BA71CDA633|GTA SA Cheats\Gameplay\Related to Cars|BSXSGGC|Cars Float Away When Hit
4E30BF03-AA6E-7F43-A925-EA5D9F5723E1|GTA SA Cheats\Gameplay\Related to Cars|BUBBLECARS|Cars Float Away When Hit
6BDF1490-A0ED-5146-8987-C021057AA5DC|GTA SA Cheats\Gameplay\Related to Cars|RIPAZHA|Cars Fly
12A1C8A1-50BE-E54A-B256-FC958980CE73|GTA SA Cheats\Gameplay\Related to Cars|CJPHONEHOME|Huge Bunny Hop
E1C60B2D-AF2A-C64C-A933-3C4908AEC802|GTA SA Cheats\Gameplay\Related to Cars|JHJOECW|Huge Bunny Hop
5CFA7366-9335-CC46-B88C-EC3EF0218937|GTA SA Cheats\Gameplay\Related to Cars|XICWMD|Invisible cars (only wheels)
C2BF7456-D83A-CF49-8F6D-720237B6A6DA|GTA SA Cheats\Gameplay\Related to Cars|WHEELSONLYPLEASE|Invisible cars (only wheels)
2D6DC3EC-5862-7145-B04A-3BDCA9F2451D|GTA SA Cheats\Gameplay\Related to Cars|PGGOMOY|Perfect Handling
7EE95B43-4D82-A24A-A87B-3574B73DC9D3|GTA SA Cheats\Gameplay\Related to Cars|STICKLIKEGLUE|Perfect Handling
389C3989-8623-5144-964C-827726EB5347|GTA SA Cheats\Gameplay\Related to Peds|MUNASEF|Adrenaline Mode
EBEE316B-72BB-1246-A947-E861A854F0C0|GTA SA Cheats\Gameplay\Related to Peds|STATEOFEMERGENCY|Chaos Mode
123390C3-B8DD-F441-BE8E-165217BB0BA8|GTA SA Cheats\Gameplay\Related to Peds|GOODBYECRUELWORLD|Suicide
7D7CF056-7223-A74D-8907-C56F1086DC5A|GTA SA Cheats\Gameplay\Related to Peds|SZCMAWO|Suicide
F9127538-5A72-FE47-A458-442160D64FF3|GTA SA Cheats\Gameplay|BEKKNQV|Slut Magnet
6961F9AD-DDB5-744D-A45A-FF6FD57724C9|GTA SA Cheats\Gameplay|JCNRUAD|Smash n' Boom
61960AD4-6E3F-3944-B0E9-AF7A9EB7FECB|GTA SA Cheats\Gameplay\Themes|CIKGCGX|Beach Party
EB053826-0E00-7640-B340-835A41EBCB0F|GTA SA Cheats\Gameplay\Themes|BMTPWHR|Country Vehicles and Peds Get Born 2 Truck Outfit
10DB96B6-8866-4D40-A480-643FF62703DF|GTA SA Cheats\Gameplay\Themes|ASBHGRB|Elvis is Everywhere
AF0726F7-C251-DB4B-A3AF-6D9EC58497AB|GTA SA Cheats\Gameplay\Themes|BLUESUEDESHOES|Elvis is Everywhere
97DE9090-1F0E-2743-9EB6-6598984755EA|GTA SA Cheats\Gameplay\Themes|FOOOXFT|Everyone is armed
B8C0F58F-7DAF-6D47-AA07-B56A6F2DD8A9|GTA SA Cheats\Gameplay\Themes|YSOHNUL|Faster Clock
8BDCF6B6-9264-134E-90B7-92782820D624|GTA SA Cheats\Gameplay\Themes|PPGWJHT|Faster Gameplay
A0B01785-E9B9-7349-99C6-ECBCE0E4AFCD|GTA SA Cheats\Gameplay\Themes|SPEEDITUP|Faster Gameplay
691A9DE0-8856-A34A-9D95-57698ABC59A5|GTA SA Cheats\Gameplay\Themes|CRAZYTOWN|Funhouse Theme
8E09486E-507E-6348-8EC2-5D5765BAD423|GTA SA Cheats\Gameplay\Themes|PRIEBJ|Funhouse Theme
22B3066F-8E57-5D4A-9C38-826DADAC9040|GTA SA Cheats\Gameplay\Themes|MROEMZH|Gang Members Everywhere
CE3D340B-1997-6C4E-A671-CF51C23E3FF9|GTA SA Cheats\Gameplay\Themes|ONLYHOMIESALLOWED|Gang Members Everywhere
0A5DB2B8-C55D-584D-B50D-93987D73BDF9|GTA SA Cheats\Gameplay\Themes|MROEMZH|Gangs Control the Streets
1C9251D2-8329-B848-807D-C53371B61595|GTA SA Cheats\Gameplay\Themes|BIFBUZZ|Gangs Control the Streets
0650147A-CA72-CF4A-B50C-18AD866501FE|GTA SA Cheats\Gameplay\Themes|NINJATOWN|Ninja Theme
8D8F9C54-52D6-9540-A292-D3E1FE67A372|GTA SA Cheats\Gameplay\Themes|AFPHULTL|Ninja Theme
0E356B41-D0A3-1D42-901E-2D7928FC4453|GTA SA Cheats\Gameplay\Themes|AJLOJYQY|Peds Attack Each Other Get Golf Club
17368435-AD07-4F48-9B74-F66CF289DC47|GTA SA Cheats\Gameplay\Themes|BGLUAWML|Peds Attack You With Weapons Rocket Launcher
589B76F8-B59A-0D46-8BBC-E4F8C723870F|GTA SA Cheats\Gameplay\Themes|IOJUFZN|Riot Mode
4B3A1D22-91E6-C94A-8A6C-4AFF1DC42229|GTA SA Cheats\Gameplay\Themes|LIYOAAY|Slower Gameplay
C37494BB-4AAD-1146-AA4C-B92D63E6390A|GTA SA Cheats\Gameplay\Themes|SLOWITDOWN|Slower Gameplay
8F220473-9196-B342-8D4B-3C4D1FC846A4|GTA SA Cheats\Gameplay\Traffic|YLTEICZ|Aggressive Drivers
4BFFFBC3-08DD-8B49-A9FF-6C398BE8E682|GTA SA Cheats\Gameplay\Traffic|ZEIIVG|All green lights
B5BFAA1E-0B5F-3B41-92C4-1768876A64E6|GTA SA Cheats\Gameplay\Traffic|IOWDLAC|Black traffic
95B96179-F583-6142-A33A-4B11AABE4D53|GTA SA Cheats\Gameplay\Traffic|LLQPFBN|Pink traffic
6510B588-DCE4-2C46-8184-4CDFE54E8BE7|GTA SA Cheats\Gameplay\Traffic|GHOSTTOWN|Reduced Traffic
B0A00F54-CB04-8045-8ED7-48F659F36340|GTA SA Cheats\Gameplay\Traffic|THGLOJ|Reduced Traffic
03472B75-D59B-024D-8D04-6A1BFEB547C9|GTA SA Cheats\Gameplay\Traffic|BGKGTJH|Traffic is Cheap Cars
6EFF40F2-E92D-8A43-96E8-2D5E2CC090E0|GTA SA Cheats\Gameplay\Traffic|EVERYONEISPOOR|Traffic is Cheap Cars
1FE227CD-2673-7A49-8FB0-90C39DB201E1|GTA SA Cheats\Gameplay\Traffic|FVTMNBZ|Traffic is Country Vehicles
1AA63EAE-50F6-1143-B95C-48202D11AA2D|GTA SA Cheats\Gameplay\Traffic|GUSNHDE|Traffic is Fast Cars
5EC8E917-CAC7-1049-9AFD-BB64E5636F52|GTA SA Cheats\Gameplay\Traffic|EVERYONEISRICH|Traffic is Fast Cars
405AAF9F-6696-4741-AE06-10260CCD97DF|GTA SA Cheats\Player Stats|BTCDBCB|Fat Player
00520F36-16D6-0A45-A8C6-B4C76281AA6A|GTA SA Cheats\Player Stats|NCSGDAG|Hitman In All Weapon Stats
CA057147-8B7F-1640-BC76-E31999ADBB4A|GTA SA Cheats\Player Stats|PROFESSIONALKILLER|Hitman In All Weapon Stats
49653157-B6C9-EB4C-8BE4-6A819654470E|GTA SA Cheats\Player Stats|BAGUVIX|Infinite Health
917B3F01-76B9-8341-85D4-0B34EECE5863|GTA SA Cheats\Player Stats|CVWKXAM|Infinite Oxygen
EBDA26DB-7730-5C44-80CE-580120F55743|GTA SA Cheats\Player Stats|NATURALTALENT|Max All Vehicle Skill Stats
62165B40-4A7F-9741-945A-34A86E12962A|GTA SA Cheats\Player Stats|JYSDSOD|Max Muscle
6B5AFD40-B861-8945-AF79-223136B16CFC|GTA SA Cheats\Player Stats|BUFFMEUP|Max Muscle
25A489B5-2839-0B42-907B-9DFA8234F292|GTA SA Cheats\Player Stats|OGXSDAG|Max Respect
E88D6A53-13F2-2E42-AC07-92A18C1557F2|GTA SA Cheats\Player Stats|WORSHIPME|Max Respect
F83958A5-8D49-C34D-B51A-5AE114795F2B|GTA SA Cheats\Player Stats|HELLOLADIES|Max Sex Appeal
FDE05332-A75E-3F44-86AE-F3E3C7EE184C|GTA SA Cheats\Player Stats|EHIBXQS|Max Sex Appeal
A27D3F90-1EB3-934F-ABED-A827889EDCA9|GTA SA Cheats\Player Stats|VKYPQCF|Max Stamina
279412E6-E5B6-274F-9134-059EB82A430D|GTA SA Cheats\Player Stats|KANGAROO|Mega Jump
6BC1B1CE-A017-4A40-AE93-CAAF6F219DEC|GTA SA Cheats\Player Stats|LFGMHAL|Mega Jump
02BBAE60-AD04-1A4A-B5A2-45E64169EE54|GTA SA Cheats\Player Stats|IAVENJQ|Mega Punch
B8457763-7B75-284E-BA25-35036F6A4370|GTA SA Cheats\Player Stats|AEDUWNV|Never Get Hungry
FF4A59D5-8B3A-164D-92CF-47F3CC99DFFF|GTA SA Cheats\Player Stats|KVGYZQK|Skinny Player
2B8A5B3A-236A-0B49-9809-CB1FCDAB7C30|GTA SA Cheats\Spawning\Cars|CQZIJMB|Spawn Bloodring Banger
8242234C-B8FC-7D45-99FC-A1EBC90A240B|GTA SA Cheats\Spawning\Cars|VROCKPOKEY|Spawn Racecar
D873AFD9-2810-CF43-B9F2-37D6BE39523B|GTA SA Cheats\Spawning\Cars|PDNEJOH|Spawn Racecar
EA971307-A427-F345-AF2B-C1709C715D50|GTA SA Cheats\Spawning\Cars|VPJTQWV|Spawn Racecar
C5BA4A4D-7AEB-4044-B414-CE341A4845BB|GTA SA Cheats\Spawning\Cars|JQNTDMH|Spawn Rancher
7430ACB0-628F-2049-AA76-276D4DD1B902|GTA SA Cheats\Spawning\Cars|WHERESTHEFUNERAL|Spawn Romero
A765613B-488D-8546-94ED-2084D2D669E4|GTA SA Cheats\Spawning\Cars|AQTBCODX|Spawn Romero
140723C6-8E07-6140-B141-6D84CE98D5C8|GTA SA Cheats\Spawning\Cars|CELEBRITYSTATUS|Spawn Stretch
875F6A2B-05D1-F24F-B08F-04D43DA90C20|GTA SA Cheats\Spawning\Cars|KRIJEBR|Spawn Stretch
0215EA19-F29F-904D-89D5-489E2A1046C8|GTA SA Cheats\Spawning\Heli's and Planes|OHDUDE|Spawn Hunter
A5832D54-8173-264F-BB22-59877BC3FED6|GTA SA Cheats\Spawning\Heli's and Planes|OHDUDE|Spawn Hunter
30271DDE-57CE-DD4D-8AB4-DF62DAFCBAE1|GTA SA Cheats\Spawning\Heli's and Planes|JUMPJET|Spawn Hydra
767C8566-9619-E747-8ED0-B63545C2513B|GTA SA Cheats\Spawning\Heli's and Planes|JUMPJET|Spawn Hydra
02BED56B-1B55-3643-916C-5F0C3BF76F43|GTA SA Cheats\Spawning\Heli's and Planes|URKQSRK|Spawn Stunt Plane
15E8EB56-05AF-C441-B51C-E9BEA089E05A|GTA SA Cheats\Spawning\Heli's and Planes|FLYINGTOSTUNT|Spawn Stunt Plane
B0AEB1A6-05EE-CD4B-A4D8-066C128EC8FB|GTA SA Cheats\Spawning\Other|YECGAA|Have Jetpack
B53830B2-60BE-A942-B7A8-0760134818EF|GTA SA Cheats\Spawning\Other|ROCKETMAN|Have Jetpack
A77B6A30-C169-6540-841E-7A32D923FC6B|GTA SA Cheats\Spawning\Other|AIYPWZQP|Have Parachute
034A3C25-5B87-4F4C-849F-1C60ADACBC1C|GTA SA Cheats\Spawning\Other|RZHSUEW|Spawn Caddy
58929A7D-0D12-2E45-9BBB-88056B9BC9A3|GTA SA Cheats\Spawning\Other|AKJJYGLC|Spawn Quad
9B7E6075-DFB1-EE4D-A689-A4EAC9083573|GTA SA Cheats\Spawning\Other|FOURWHEELFUN|Spawn Quad
97659E23-60E9-F742-969C-2796B36AB5DC|GTA SA Cheats\Spawning\Other|AIWPRTON|Spawn Rhino
01720E64-AA42-4C4B-A4B0-D69B6A94BAFE|GTA SA Cheats\Spawning\Other|KGGGDKP|Spawn Vortex Hovercraft
97CCEF2D-48E8-C74E-BF13-87E6FD5D6697|GTA SA Cheats\Spawning\Trucks|EEGCYXT|Spawn Dozer
A76D18C6-8966-9B4D-A228-E2F3AB99E3CB|GTA SA Cheats\Spawning\Trucks|ITSALLBULL|Spawn Dozer
120D1E08-72F4-D34E-A122-73B5947A623F|GTA SA Cheats\Spawning\Trucks|AGBDLCID|Spawn Monster
AD94B3E8-5D2E-7047-8413-3DF9CDAAD1D7|GTA SA Cheats\Spawning\Trucks|MONSTERMASH|Spawn Monster
09B919AC-CD8E-3F4B-AC0A-6FDBE223D120|GTA SA Cheats\Spawning\Trucks|AMOMHRER|Spawn Tanker Truck
00758E39-2A17-B742-880A-5EC8D25FE040|GTA SA Cheats\Spawning\Trucks|TRUEGRIME|Spawn Trashmaster
3593294F-BD38-E147-945E-8196E0774D61|GTA SA Cheats\Spawning\Trucks|UBHYZHQ|Spawn Trashmaster
0CC68C55-BFB0-2647-89AB-7B8A3808A2C6|GTA SA Cheats\Wanted Levels|ASNAEB|Clear Wanted Level
1B1BC30F-191A-894F-84EA-51B918095561|GTA SA Cheats\Wanted Levels|BAGOWPG|Have a bounty on your head
B7F00EF9-2C4F-5547-B867-E31DD655DB3F|GTA SA Cheats\Wanted Levels|OSRBLHH|Increase Wanted Level Two Stars
B3C5177E-1AFF-4741-B5CB-3490E7A65CB2|GTA SA Cheats\Wanted Levels|AEZAKMI|Never Wanted
D9ECE6EA-AA30-6940-9026-688568355DEC|GTA SA Cheats\Wanted Levels|BRINGITON|Six Star Wanted Level
F051F98C-411B-B94D-8EEC-0B5BBEA8AF3C|GTA SA Cheats\Wanted Levels|LJSPQK|Six Star Wanted Level
1E1BABF5-9F03-924F-B822-EF4FD5C77615|GTA SA Cheats\Weapons|OUIQDMW|Full Weapon Aiming While Driving
3669B352-78D1-EA4D-A5CE-D40B08F96D48|GTA SA Cheats\Weapons|FULLCLIP|Infinite Ammo No Reload
AF8BD92E-D1CD-5A48-9685-7B321C9FD457|GTA SA Cheats\Weapons|WANRLTW|Infinite Ammo No Reload
1B282378-D6B6-1F4C-866D-4F8DD93480D9|GTA SA Cheats\Weapons|LXGIWYL|Weapon Set 1 Thug's Tools
1F0B7AF7-9793-1542-BC33-6BD8C081ABF5|GTA SA Cheats\Weapons|KJKSZPJ|Weapon Set 2 Professional Tools
253480F3-21AF-8645-AD86-100FBAC34476|GTA SA Cheats\Weapons|PROFESSIONALSKIT|Weapon Set 2 Professional Tools
64A2C04C-2151-604F-AF02-299B71B7336D|GTA SA Cheats\Weapons|UZUMYMW|Weapon Set 3 Nutter Tools
581334F9-9F0A-DF42-A7B1-A33B49B30180|GTA SA Cheats\Weather|NIGHTPROWLER|Always Midnight
