# Edit at your own risk. Consists of Location Data for GTASA Control Center
# This file gets regenerated when you click on Save Changes to Config File button.
# If you delete this file, it will be regenerated by the next time you run GTASA Control Center
GTASAWarpLocations
#GTA San Andreas Warp Locations:
#UID | Folder | Description | LocationData(X;Y;Z;Angle)
64EFF8C6-E20E-8C4B-ACFC-1895B23C0EEF|GTA SA Locations\Flowers|Flower 01|1928.68;-1774.21;13.54;90
263A5859-51F8-2541-B515-2B00123ED5B9|GTA SA Locations\Flowers|Flower 02|1875.91;-1917.18;15.03;90
4DCC5450-50D6-BB44-BE3A-BF0834B13AAF|GTA SA Locations\Flowers|Flower 03|2019.6;-1214.15;21.47;90
59FA678C-3387-3E44-9E3C-25EAA5E780A7|GTA SA Locations\Flowers|Flower 04|2209.77;-1001.69;63.71;90
14B7B2C0-2890-304F-9DF1-CD28B2B08F1A|GTA SA Locations\Flowers|Flower 05|1000.34;-1858.58;12.3;90
8ECC1C35-B27D-7E41-B7CB-06E5BA2EF929|GTA SA Locations\Flowers|Flower 06|911.11;-1120.31;24.03;90
D6344AE4-D6D6-EF4E-ADC1-5A6D017CE85F|GTA SA Locations\Flowers|Flower 07|929.0;-750.0;105.82;90
1C0792E8-0EB3-5543-AF74-96427FE39DC3|GTA SA Locations\Flowers|Flower 08|1129.09;-2052.82;69.0;90
AF415559-BE74-FC46-8968-5D72154F511F|GTA SA Locations\Flowers|Flower 09|-92.74;-1425.46;12.75;90
34CADA6D-74D6-6648-AD9C-858069B74082|GTA SA Locations\Flowers|Flower 10|-77.65;-1167.18;2.16;90
DC403F45-47D9-EA4F-8128-44162B23D663|GTA SA Locations\Flowers|Flower 11|34.0;-2649.0;40.73;90
46155B3F-6318-8549-8C65-16CE00482C32|GTA SA Locations\Flowers|Flower 12|-739.0;-1262.0;68.12;90
002EEE32-F05E-F240-9D0E-2F712816680E|GTA SA Locations\Flowers|Flower 13|-2177.0;-2423.0;30.63;90
3314F132-DAA7-AB48-955E-C08AB6ECF011|GTA SA Locations\Flowers|Flower 14|-615.0;-861.0;105.72;90
1677702B-B154-AC40-BA17-0F4C8248BE30|GTA SA Locations\Flowers|Flower 15|-2051.0;948.0;55.4;90
65556ED6-61DF-B84D-87C4-14B3DF3298BB|GTA SA Locations\Flowers|Flower 16|-2658.0;-187.0;4.18;90
B3723BD4-67AB-524C-88BF-81945F6A1400|GTA SA Locations\Flowers|Flower 17|-2649.0;734.97;27.96;90
236583F9-E58E-174E-BA1F-AFF3550C0932|GTA SA Locations\Flowers|Flower 18|-1791.0;481.0;25.68;90
06F85E8E-5937-244A-9E31-333D9C3FCC4E|GTA SA Locations\Flowers|Flower 19|-2797.0;1182.0;20.28;90
6F5884FC-937A-324E-B226-19C94BA56DCF|GTA SA Locations\Flowers|Flower 20|-2589.623;-16.165;3.9662;90
82653397-D3DA-E241-873E-527BA1834D2B|GTA SA Locations\Flowers|Flower 21|-2865.0;690.0;23.43;90
0D3DAEE7-76E0-BE44-854F-764EE0E73737|GTA SA Locations\Flowers|Flower 22|-2339.0;-453.0;80.24;90
03AF9A73-C3F1-D246-8629-2E0D8919D0F6|GTA SA Locations\Flowers|Flower 23|-1955.0;-748.0;36.22;90
8C348E9D-A6E3-9745-9956-23D143B980BF|GTA SA Locations\Flowers|Flower 24|-2420.03;987.59;45.3;90
F192E0D4-809D-4E4A-B750-143268EE6113|GTA SA Locations\Flowers|Flower 25|-326.56;2215.37;43.57;90
A458022E-0C8B-4D40-8B59-286CB6059003|GTA SA Locations\Flowers|Flower 26|-1319.0;2705.0;50.27;90
880478AE-6F17-264E-A5C0-55AA64558C15|GTA SA Locations\Flowers|Flower 27|-2474.94;2443.52;16.03;90
AD5E3025-D55B-F049-BA48-95C7CAD0A686|GTA SA Locations\Flowers|Flower 28|-1670.64;2590.49;81.37;90
DA738544-EC77-6C41-8108-A246B23D1386|GTA SA Locations\Flowers|Flower 29|-892.98;1971.66;60.61;90
6E8C9AE9-277C-AA4F-858F-C92585F491CD|GTA SA Locations\Flowers|Flower 30|1576.86;2837.14;10.83;90
20CDD66D-C9FE-374E-AEE8-BEBB938409F6|GTA SA Locations\Flowers|Flower 31|1492.72;2773.76;10.81;90
28D419CE-9653-CF4A-9E41-64DDA62C8F7B|GTA SA Locations\Flowers|Flower 32|2642.03;1125.74;11.03;90
7AE7415C-F49A-6043-9324-E006A160CEAB|GTA SA Locations\Flowers|Flower 33|2025.24;661.6;10.93;90
15C9FAB7-ED0F-F64A-B5A8-036B4D818BE9|GTA SA Locations\Flowers|Flower 34|2181.82;1484.97;11.36;90
