long,long,long,long,float,float,float,flags,long,
5305,4,0,0,16367.265625,16405.5546875,58.9391212463,0x0,1,
5306,4,1,0,16372.2070313,16388.9160156,78.4579467773,0x0,2,
5307,4,2,0,16407.8300781,16349.0693359,77.8611526489,0x0,3,
35,6,0,0,-8851.65820313,498.551757813,111.256019592,0x0,0,
36,6,1,0,-8869.40820313,486.372497559,116.432891846,0x0,0,
37,6,2,0,-8910.19140625,492.728302002,121.822860718,0x0,0,
38,6,3,0,-8929.26464844,496.016723633,108.566322327,0x0,0,
39,6,4,0,-8965.7734375,509.531585693,106.350082397,0x0,0,
40,6,5,0,-9032.23925781,459.377380371,102.829246521,0x0,0,
41,6,6,0,-9095.13769531,412.074554443,104.171966553,0x0,0,
42,6,7,0,-9187.96777344,419.654296875,94.614654541,0x0,0,
43,6,8,0,-9274.57226563,423.627288818,84.5258712769,0x0,0,
44,6,9,0,-9380.046875,432.532562256,66.3456192017,0x0,0,
45,6,10,0,-9451.37988281,386.520172119,55.4564819336,0x0,0,
46,6,11,0,-9524.62792969,368.067810059,52.4022827148,0x0,0,
47,6,12,0,-9601.1328125,407.540039063,52.4762535095,0x0,0,
48,6,13,0,-9686.16503906,469.80090332,40.7120285034,0x0,0,
2918,6,14,0,-9734.62207031,552.163879395,39.3231430054,0x0,0,
2919,6,15,0,-9742.76464844,621.352416992,37.9248428345,0x0,0,
2920,6,16,0,-9790.90820313,641.051208496,44.3746070862,0x0,0,
2921,6,17,0,-9847.7421875,632.785461426,44.1486968994,0x0,0,
2922,6,18,0,-9941.953125,634.823120117,44.3291358948,0x0,0,
2923,6,19,0,-10000.4550781,691.705871582,38.2497253418,0x0,0,
2924,6,20,0,-10034.6445313,787.493347168,31.2976112366,0x0,0,
2925,6,21,0,-10054.4394531,872.945068359,42.682510376,0x0,0,
2926,6,22,0,-10139.359375,931.711608887,46.9358100891,0x0,0,
2927,6,23,0,-10255.1123047,986.271362305,39.5682144165,0x0,0,
2928,6,24,0,-10310.5839844,1070.44714355,51.8513145447,0x0,0,
2929,6,25,0,-10364.2509766,1112.39807129,43.3154983521,0x0,0,
2930,6,26,0,-10489.6533203,1100.47619629,59.4534378052,0x0,0,
2931,6,27,0,-10588.3193359,1075.87902832,47.0261421204,0x0,0,
2932,6,28,0,-10629.0654297,1039.44555664,37.954334259,0x0,0,
68,7,0,0,-10628.5390625,1040.06896973,37.9830207825,0x0,0,
69,7,1,0,-10609.9648438,1097.77819824,43.0528297424,0x0,0,
70,7,2,0,-10504.4873047,1142.77502441,52.0925369263,0x0,0,
71,7,3,0,-10424.1699219,1068.10852051,58.9752197266,0x0,0,
72,7,4,0,-10308.5458984,1046.85412598,58.3277130127,0x0,0,
73,7,5,0,-10210.65625,931.045043945,58.4195289612,0x0,0,
74,7,6,0,-10184.7080078,811.825561523,43.8141136169,0x0,0,
75,7,7,0,-10197.8232422,634.420715332,30.0767612457,0x0,0,
76,7,8,0,-10174.3359375,554.780517578,29.1628284454,0x0,0,
77,7,9,0,-10100.2519531,513.253234863,32.3251838684,0x0,0,
78,7,10,0,-9946.88671875,506.598754883,37.318862915,0x0,0,
79,7,11,0,-9881.44824219,524.318603516,37.4744987488,0x0,0,
80,7,12,0,-9814.70507813,523.479370117,37.5754928589,0x0,0,
81,7,13,0,-9756.67675781,540.989501953,43.8901405334,0x0,0,
82,7,14,0,-9709.98925781,517.121582031,45.5835914612,0x0,0,
83,7,15,0,-9690.50585938,464.964477539,40.5281677246,0x0,0,
84,7,16,0,-9599.50292969,406.553283691,44.5424804688,0x0,0,
85,7,17,0,-9534.18261719,366.775115967,60.3691673279,0x0,0,
86,7,18,0,-9466.7734375,373.824066162,60.3194999695,0x0,0,
87,7,19,0,-9382.39160156,409.663208008,60.615737915,0x0,0,
88,7,20,0,-9304.59863281,423.20715332,79.6182937622,0x0,0,
89,7,21,0,-9235.62011719,401.157623291,89.3273620605,0x0,0,
90,7,22,0,-9163.30761719,364.078460693,101.014038086,0x0,0,
91,7,23,0,-9081.48144531,424.175933838,104.527572632,0x0,0,
92,7,24,0,-9028.0078125,449.25668335,108.241157532,0x0,0,
2934,7,25,0,-8956.79589844,440.284942627,109.385772705,0x0,0,
2935,7,26,0,-8873.91308594,456.8722229,112.744697571,0x0,0,
2936,7,27,0,-8833.1640625,479.762542725,110.17893219,0x0,0,
119,8,0,0,-9429.28125,-2236.27490234,72.5966644287,0x0,0,
120,8,1,0,-9460.89257813,-2250.6730957,81.7127380371,0x0,0,
121,8,2,0,-9507.94824219,-2244.83911133,97.6711273193,0x0,0,
122,8,3,0,-9543.87109375,-2197.87060547,101.948509216,0x0,0,
123,8,4,0,-9606.37890625,-2086.05395508,77.6374435425,0x0,0,
124,8,5,0,-9555.00097656,-2000.30334473,80.1166534424,0x0,0,
125,8,6,0,-9632.94726563,-1875.71789551,84.1959915161,0x0,0,
126,8,7,0,-9625.08300781,-1769.78625488,109.455429077,0x0,0,
127,8,8,0,-9693.0078125,-1586.18725586,131.617752075,0x0,0,
128,8,9,0,-9805.71777344,-1424.02392578,111.909156799,0x0,0,
129,8,10,0,-9674.99804688,-1306.91308594,118.971862793,0x0,0,
130,8,11,0,-9575.31152344,-1177.97302246,128.801300049,0x0,0,
131,8,12,0,-9488.23339844,-943.348754883,146.160751343,0x0,0,
132,8,13,0,-9449.52929688,-726.403564453,154.392471313,0x0,0,
133,8,14,0,-9487.8203125,-427.299530029,135.64604187,0x0,0,
134,8,15,0,-9493.37207031,-158.436416626,139.546432495,0x0,0,
135,8,16,0,-9434.49609375,35.7426223755,145.193969727,0x0,0,
136,8,17,0,-9275.11035156,257.535919189,166.588165283,0x0,0,
137,8,18,0,-9085.02539063,416.66204834,144.440185547,0x0,0,
138,8,19,0,-9000.60546875,466.977966309,130.149307251,0x0,0,
2937,8,20,0,-8915.15234375,451.309234619,116.376602173,0x0,0,
2938,8,21,0,-8858.95703125,464.183807373,113.691749573,0x0,0,
2939,8,22,0,-8834.74609375,478.635894775,110.170127869,0x0,0,
176,9,0,0,-8851.02929688,497.572052002,111.341926575,0x0,0,
177,9,1,0,-8870.23925781,483.143554688,115.773933411,0x0,0,
178,9,2,0,-8923.74316406,449.364196777,116.748733521,0x0,0,
179,9,3,0,-8977.93652344,477.845123291,111.450401306,0x0,0,
